threshold,slip_pt,full_trades,full_total_yen,full_avg_yen,full_winrate,full_maxdd_yen,full_pf,full_mar,train_trades,train_total_yen,train_avg_yen,train_winrate,train_maxdd_yen,train_pf,train_mar,test_trades,test_total_yen,test_avg_yen,test_winrate,test_maxdd_yen,test_pf,test_mar,post2020_trades,post2020_total_yen,post2020_avg_yen,post2020_winrate,post2020_maxdd_yen,post2020_pf,post2020_mar,roll1y_survive_pct,roll1y_profit_pct,roll1y_both_pct
220,0,797,1700336,2133.4,62.9,-66886,2.564,25.42,265,435068,1641.8,64.8,-17743,2.727,24.52,532,1265268,2378.3,62.0,-66886,2.515,18.92,596,1380490,2316.3,61.7,-66886,2.509,20.64,100.0,100.0,100.0
230,0,729,1714070,2351.3,63.5,-37497,2.791,45.71,235,448043,1906.6,65.8,-17743,3.166,25.25,494,1266028,2562.8,62.3,-37497,2.688,33.76,555,1390459,2505.3,62.2,-37497,2.697,37.08,100.0,100.0,100.0
240,0,672,1625843,2419.4,62.9,-37497,2.758,43.36,206,416252,2020.6,66.3,-17743,3.185,23.46,466,1209591,2595.7,61.4,-37497,2.647,32.26,521,1316966,2527.8,61.2,-37497,2.646,35.12,100.0,100.0,100.0
250,0,624,1601731,2566.9,63.1,-37497,2.857,42.72,186,398285,2141.3,66.5,-17743,3.285,22.45,438,1203446,2747.6,61.6,-37497,2.749,32.09,488,1308511,2681.4,61.5,-37497,2.747,34.9,100.0,100.0,100.0
260,0,568,1546081,2722.0,63.3,-37497,2.921,41.23,160,366400,2290.0,67.3,-17743,3.421,20.65,408,1179682,2891.4,61.8,-37497,2.805,31.46,454,1281741,2823.2,61.5,-37497,2.805,34.18,100.0,100.0,100.0
270,0,515,1528100,2967.2,64.6,-37497,3.096,40.75,136,336659,2475.4,68.1,-17743,3.608,18.97,379,1191441,3143.6,63.3,-37497,2.986,31.77,419,1295615,3092.2,63.2,-37497,3.001,34.55,100.0,100.0,100.0
280,0,475,1558133,3280.3,66.9,-37497,3.45,41.55,121,337885,2792.4,71.1,-17743,4.049,19.04,354,1220248,3447.0,65.5,-37497,3.323,32.54,389,1325054,3406.3,65.6,-37497,3.358,35.34,100.0,100.0,100.0
290,0,452,1511920,3345.0,66.8,-37497,3.46,40.32,109,317335,2911.3,71.6,-17743,4.334,17.88,343,1194585,3482.8,65.3,-37497,3.3,31.86,377,1296176,3438.1,65.3,-37497,3.331,34.57,100.0,100.0,100.0
300,0,427,1497397,3506.8,67.4,-37497,3.586,39.93,97,306731,3162.2,74.2,-11385,4.929,26.94,330,1190667,3608.1,65.5,-37497,3.376,31.75,361,1294476,3585.8,65.7,-37497,3.436,34.52,100.0,100.0,100.0
310,0,388,1468541,3784.9,68.8,-37497,3.826,39.16,77,280144,3638.2,75.3,-8654,6.142,32.37,311,1188397,3821.2,67.2,-37497,3.555,31.69,337,1303052,3866.6,67.7,-37497,3.717,34.75,100.0,100.0,100.0
320,0,363,1396191,3846.3,68.3,-37497,3.828,37.23,67,242409,3618.0,76.1,-8275,6.799,29.29,296,1153782,3897.9,66.6,-37497,3.553,30.77,319,1248680,3914.4,66.8,-37497,3.679,33.3,100.0,100.0,100.0
330,0,331,1358266,4103.5,68.3,-37497,4.149,36.22,55,221532,4027.8,76.4,-7446,7.404,29.75,276,1136734,4118.6,66.7,-37497,3.865,30.32,295,1221983,4142.3,66.8,-37497,3.978,32.59,100.0,100.0,100.0
340,0,299,1303628,4360.0,68.9,-37497,4.315,34.77,42,187604,4466.8,83.3,-8485,8.643,22.11,257,1116024,4342.5,66.5,-37497,4.027,29.76,271,1202540,4437.4,67.2,-37497,4.18,32.07,100.0,100.0,100.0
350,0,281,1327693,4724.9,70.5,-28756,4.879,46.17,39,187919,4818.4,84.6,-8485,8.961,22.15,242,1139775,4709.8,68.2,-28756,4.577,39.64,255,1227230,4812.7,69.0,-28756,4.751,42.68,100.0,100.0,100.0
360,0,250,1219299,4877.2,70.4,-28756,4.833,42.4,28,129822,4636.5,82.1,-8485,6.509,15.3,222,1089477,4907.6,68.9,-28756,4.699,37.89,231,1137235,4923.1,69.3,-28756,4.753,39.55,,,
370,0,237,1175263,4958.9,70.5,-28756,4.777,40.87,25,111017,4440.7,80.0,-8485,5.711,13.08,212,1064246,5020.0,69.3,-28756,4.701,37.01,221,1112004,5031.7,69.7,-28756,4.756,38.67,,,
380,0,218,1103410,5061.5,70.2,-28756,4.777,38.37,22,83257,3784.4,77.3,-8485,4.533,9.81,196,1020153,5204.9,69.4,-28756,4.798,35.48,203,1047579,5160.5,69.5,-28756,4.781,36.43,,,
390,0,198,1108083,5596.4,71.7,-18925,5.69,58.55,14,42675,3048.2,64.3,-8485,2.811,5.03,184,1065408,5790.3,72.3,-18925,6.01,56.3,190,1079436,5681.2,72.1,-18925,5.881,57.04,,,
400,0,184,1082192,5881.5,72.3,-18925,5.957,57.18,10,57769,5776.9,80.0,-4018,9.516,14.38,174,1024423,5887.5,71.8,-18925,5.843,54.13,178,1041231,5849.6,71.9,-18925,5.83,55.02,,,
410,0,167,1044990,6257.4,73.1,-18925,6.376,55.22,7,37944,5420.6,71.4,-4018,6.594,9.44,160,1007046,6294.0,73.1,-18925,6.368,53.21,163,1017408,6241.8,73.0,-18925,6.309,53.76,,,
420,0,158,979436,6199.0,72.2,-18925,6.167,51.75,5,16647,3329.4,60.0,-4018,3.454,4.14,153,962788,6292.7,72.5,-18925,6.268,50.87,156,973151,6238.1,72.4,-18925,6.21,51.42,,,
430,0,153,970985,6346.3,72.5,-18925,6.212,51.31,4,19412,4853.1,75.0,-4018,5.831,4.83,149,951573,6386.4,72.5,-18925,6.22,50.28,152,961935,6328.5,72.4,-18925,6.163,50.83,,,
440,0,140,925204,6608.6,72.1,-18925,6.084,48.89,2,5032,2516.1,50.0,-4018,2.252,1.25,138,920172,6667.9,72.5,-18925,6.171,48.62,139,916154,6591.0,71.9,-18925,6.034,48.41,,,
450,0,122,904907,7417.3,74.6,-18925,7.024,47.82,2,5032,2516.1,50.0,-4018,2.252,1.25,120,899875,7499.0,75.0,-18925,7.155,47.55,121,895857,7403.8,74.4,-18925,6.964,47.34,,,
460,0,113,856561,7580.2,72.6,-18925,6.702,45.26,2,5032,2516.1,50.0,-4018,2.252,1.25,111,851529,7671.4,73.0,-18925,6.825,45.0,112,847511,7567.1,72.3,-18925,6.642,44.78,,,
470,0,107,837834,7830.2,72.9,-18925,6.733,44.27,1,-4018,-4018.0,0.0,-4018,0.0,-1.0,106,841852,7942.0,73.6,-18925,6.924,44.48,107,837834,7830.2,72.9,-18925,6.733,44.27,,,
480,0,97,825046,8505.6,75.3,-18925,6.886,43.6,1,-4018,-4018.0,0.0,-4018,0.0,-1.0,96,829064,8636.1,76.0,-18925,7.09,43.81,97,825046,8505.6,75.3,-18925,6.886,43.6,,,
490,0,87,813086,9345.8,75.9,-18925,8.516,42.96,1,-4018,-4018.0,0.0,-4018,0.0,-1.0,86,817104,9501.2,76.7,-18925,8.845,43.18,87,813086,9345.8,75.9,-18925,8.516,42.96,,,
500,0,85,819355,9639.5,76.5,-18925,9.101,43.3,1,-4018,-4018.0,0.0,-4018,0.0,-1.0,84,823373,9802.1,77.4,-18925,9.478,43.51,85,819355,9639.5,76.5,-18925,9.101,43.3,,,
510,0,76,790926,10406.9,76.3,-18925,9.282,41.79,0,0,0,0,0,,,76,790926,10406.9,76.3,-18925,9.282,41.79,76,790926,10406.9,76.3,-18925,9.282,41.79,,,
520,0,71,757956,10675.4,77.5,-18925,9.248,40.05,0,0,0,0,0,,,71,757956,10675.4,77.5,-18925,9.248,40.05,71,757956,10675.4,77.5,-18925,9.248,40.05,,,
530,0,70,758482,10835.5,78.6,-18925,9.302,40.08,0,0,0,0,0,,,70,758482,10835.5,78.6,-18925,9.302,40.08,70,758482,10835.5,78.6,-18925,9.302,40.08,,,
540,0,68,765293,11254.3,79.4,-18925,10.608,40.44,0,0,0,0,0,,,68,765293,11254.3,79.4,-18925,10.608,40.44,68,765293,11254.3,79.4,-18925,10.608,40.44,,,
550,0,66,765517,11598.7,80.3,-18925,11.102,40.45,0,0,0,0,0,,,66,765517,11598.7,80.3,-18925,11.102,40.45,66,765517,11598.7,80.3,-18925,11.102,40.45,,,
560,0,59,774658,13129.8,84.7,-18925,15.233,40.93,0,0,0,0,0,,,59,774658,13129.8,84.7,-18925,15.233,40.93,59,774658,13129.8,84.7,-18925,15.233,40.93,,,
570,0,57,760091,13334.9,84.2,-18925,14.965,40.16,0,0,0,0,0,,,57,760091,13334.9,84.2,-18925,14.965,40.16,57,760091,13334.9,84.2,-18925,14.965,40.16,,,
580,0,48,681920,14206.7,81.2,-18925,13.529,36.03,0,0,0,0,0,,,48,681920,14206.7,81.2,-18925,13.529,36.03,48,681920,14206.7,81.2,-18925,13.529,36.03,,,
590,0,45,672462,14943.6,82.2,-18925,15.546,35.53,0,0,0,0,0,,,45,672462,14943.6,82.2,-18925,15.546,35.53,45,672462,14943.6,82.2,-18925,15.546,35.53,,,
600,0,42,635701,15135.7,83.3,-18925,15.638,33.59,0,0,0,0,0,,,42,635701,15135.7,83.3,-18925,15.638,33.59,42,635701,15135.7,83.3,-18925,15.638,33.59,,,
610,0,38,594883,15654.8,84.2,-10931,25.277,54.42,0,0,0,0,0,,,38,594883,15654.8,84.2,-10931,25.277,54.42,38,594883,15654.8,84.2,-10931,25.277,54.42,,,
620,0,37,568902,15375.7,83.8,-10931,24.217,52.04,0,0,0,0,0,,,37,568902,15375.7,83.8,-10931,24.217,52.04,37,568902,15375.7,83.8,-10931,24.217,52.04,,,
630,0,36,528534,14681.5,83.3,-10931,22.57,48.35,0,0,0,0,0,,,36,528534,14681.5,83.3,-10931,22.57,48.35,36,528534,14681.5,83.3,-10931,22.57,48.35,,,
640,0,33,508490,15408.8,84.8,-10931,22.915,46.52,0,0,0,0,0,,,33,508490,15408.8,84.8,-10931,22.915,46.52,33,508490,15408.8,84.8,-10931,22.915,46.52,,,
650,0,31,482650,15569.4,83.9,-10931,21.802,44.15,0,0,0,0,0,,,31,482650,15569.4,83.9,-10931,21.802,44.15,31,482650,15569.4,83.9,-10931,21.802,44.15,,,
0,5,3762,1500077,398.7,50.1,-133083,1.362,11.27,2447,234550,95.9,48.6,-133083,1.111,1.76,1315,1265527,962.4,52.9,-58207,1.625,21.74,1557,1437015,922.9,53.1,-58207,1.631,24.69,100.0,69.5,69.5
10,5,3560,1554217,436.6,50.6,-122727,1.394,12.66,2286,283083,123.8,49.0,-122727,1.143,2.31,1274,1271134,997.8,53.5,-64251,1.645,19.78,1504,1445225,960.9,53.7,-64251,1.653,22.49,100.0,75.2,75.2
20,5,3355,1565903,466.7,50.8,-114925,1.413,13.63,2121,274008,129.2,49.0,-114925,1.146,2.38,1234,1291896,1046.9,53.8,-56573,1.676,22.84,1457,1462449,1003.7,54.0,-56573,1.681,25.85,100.0,75.0,75.0
30,5,3158,1628820,515.8,51.4,-90849,1.451,17.93,1964,348686,177.5,49.8,-90849,1.2,3.84,1194,1280134,1072.1,53.9,-56573,1.686,22.63,1404,1465365,1043.7,54.3,-56573,1.703,25.9,100.0,82.2,82.2
40,5,2968,1651015,556.3,52.1,-89935,1.477,18.36,1803,389553,216.1,51.0,-89935,1.242,4.33,1165,1261462,1082.8,53.7,-56573,1.683,22.3,1363,1431938,1050.6,54.1,-56573,1.696,25.31,100.0,90.0,90.0
50,5,2782,1651423,593.6,52.4,-100687,1.496,16.4,1654,383113,231.6,51.3,-100687,1.252,3.8,1128,1268309,1124.4,54.1,-56573,1.703,22.42,1319,1443755,1094.6,54.4,-56573,1.719,25.52,100.0,89.2,89.2
60,5,2579,1681430,652.0,53.0,-81306,1.537,20.68,1496,424749,283.9,52.1,-81306,1.306,5.22,1083,1256681,1160.4,54.3,-56573,1.722,22.21,1264,1432725,1133.5,54.7,-56573,1.74,25.33,100.0,93.2,93.2
70,5,2411,1705791,707.5,53.0,-88194,1.572,19.34,1376,410361,298.2,51.9,-88194,1.31,4.65,1035,1295430,1251.6,54.6,-56573,1.782,22.9,1209,1466789,1213.2,54.9,-56573,1.794,25.93,100.0,92.7,92.7
80,5,2228,1691201,759.1,53.4,-102409,1.599,16.51,1230,398985,324.4,52.4,-102409,1.327,3.9,998,1292216,1294.8,54.6,-56573,1.807,22.84,1165,1451594,1246.0,54.9,-56573,1.811,25.66,99.8,94.0,94.0
90,5,2060,1702587,826.5,54.1,-91006,1.643,18.71,1104,412758,373.9,53.4,-91006,1.37,4.54,956,1289829,1349.2,55.0,-56573,1.841,22.8,1116,1429893,1281.3,55.2,-56573,1.831,25.28,100.0,95.7,95.7
100,5,1917,1734671,904.9,54.5,-56615,1.698,30.64,994,427117,429.7,53.3,-56615,1.427,7.54,923,1307554,1416.6,55.7,-56573,1.88,23.11,1068,1449759,1357.5,55.8,-56573,1.876,25.63,100.0,98.1,98.1
110,5,1775,1731907,975.7,54.9,-66151,1.744,26.18,899,453867,504.9,54.3,-56621,1.505,8.02,876,1278040,1458.9,55.6,-66151,1.894,19.32,1012,1416449,1399.7,55.7,-66151,1.89,21.41,100.0,98.0,98.0
120,5,1640,1761815,1074.3,55.7,-66151,1.822,26.63,800,489774,612.2,55.5,-35982,1.626,13.61,840,1272041,1514.3,55.8,-66151,1.935,19.23,964,1401393,1453.7,55.8,-66151,1.923,21.18,100.0,100.0,100.0
130,5,1534,1733221,1129.9,55.7,-66151,1.853,26.2,725,462851,638.4,55.4,-35982,1.637,12.86,809,1270370,1570.3,56.0,-66151,1.974,19.2,924,1401074,1516.3,56.2,-66151,1.965,21.18,100.0,100.0,100.0
140,5,1435,1726826,1203.4,56.2,-66151,1.893,26.1,655,441192,673.6,55.6,-38099,1.644,11.58,780,1285633,1648.2,56.8,-66151,2.029,19.43,887,1409412,1589.0,56.7,-66151,2.011,21.31,100.0,100.0,100.0
150,5,1329,1745871,1313.7,57.1,-66151,1.967,26.39,580,478371,824.8,57.2,-24582,1.804,19.46,749,1267500,1692.3,57.0,-66151,2.047,19.16,849,1404493,1654.3,57.2,-66151,2.053,21.23,100.0,100.0,100.0
160,5,1227,1755108,1430.4,57.7,-66151,2.058,26.53,523,501402,958.7,58.1,-24582,1.969,20.4,704,1253706,1780.8,57.4,-66151,2.099,18.95,796,1405092,1765.2,57.7,-66151,2.129,21.24,100.0,100.0,100.0
170,5,1149,1747082,1520.5,58.6,-66151,2.105,26.41,478,491526,1028.3,59.2,-24582,2.016,20.0,671,1255556,1871.2,58.1,-66151,2.144,18.98,758,1410329,1860.6,58.4,-66151,2.18,21.32,100.0,100.0,100.0
180,5,1066,1716338,1610.1,59.0,-64859,2.171,26.46,426,459657,1079.0,58.9,-30350,2.073,15.15,640,1256680,1963.6,59.1,-64859,2.212,19.38,720,1387386,1926.9,59.2,-64859,2.224,21.39,100.0,100.0,100.0
190,5,977,1722555,1763.1,59.8,-64859,2.296,26.56,366,474642,1296.8,61.2,-17993,2.399,26.38,611,1247913,2042.4,58.9,-64859,2.26,19.24,683,1366576,2000.8,58.9,-64859,2.268,21.07,100.0,100.0,100.0
200,5,915,1721558,1881.5,60.9,-64859,2.391,26.54,325,460835,1418.0,62.8,-17993,2.526,25.61,590,1260724,2136.8,59.8,-64859,2.347,19.44,657,1375629,2093.8,59.8,-64859,2.349,21.21,100.0,100.0,100.0
210,5,857,1657777,1934.4,61.3,-67236,2.388,24.66,297,438333,1475.9,63.3,-17993,2.533,24.36,560,1219444,2177.6,60.2,-67236,2.343,18.14,625,1326839,2122.9,60.0,-67236,2.337,19.73,100.0,100.0,100.0
220,5,797,1627186,2041.6,62.2,-67236,2.46,24.2,265,410168,1547.8,63.4,-17993,2.571,22.8,532,1217018,2287.6,61.7,-67236,2.426,18.1,596,1326290,2225.3,61.4,-67236,2.418,19.73,100.0,100.0,100.0
230,5,729,1646970,2259.2,62.7,-37747,2.678,43.63,235,425943,1812.5,64.3,-17993,2.984,23.67,494,1221028,2471.7,61.9,-37747,2.592,32.35,555,1339809,2414.1,61.8,-37747,2.598,35.49,100.0,100.0,100.0
